Time,X,Y,Z,GX,GY,GZ,Activity
738683.1879,0.187134,-0.079224,-0.861694,47.401424,72.387695,18.157959,Climb_1
738683.1874,-0.652588,0.364136,-0.625854,8.476257,18.920898,-1.312256,Climb_1
738683.1879,-0.651367,0.493042,-0.544556,-5.508422,-18.463135,1.945495,Climb_1
738683.1874,-0.606445,0.418457,-0.637695,-56.091305,58.647152,17.868042,Climb_1
738683.1874,-0.483521,0.512573,-0.440186,68.466187,96.855156,32.012939,Climb_1
738683.1879,-0.652466,0.489014,-0.526489,10.025024,-1.88446,13.519286,Climb_1
738683.1874,0.174438,-0.343018,-0.994507,49.262997,8.773804,-35.011292,Climb_1
738683.1873,-0.647827,0.398682,-0.44873,-19.493103,-5.66864,-15.983581,Climb_1
738683.1879,-0.610596,0.514648,-0.613892,-2.14386,0.709534,15.121459,Climb_1
738683.1879,-0.595459,0.498169,-0.577271,-3.768921,6.54602,7.339477,Climb_1
738683.1879,-0.481445,0.537598,-0.495728,2.609253,16.242981,3.189087,Climb_1
738683.1879,-0.534302,0.438843,-0.534668,-9.44519,26.496885,23.017881,Climb_1
738683.1879,-0.354004,0.321777,-0.630127,-30.082701,3.425598,30.647276,Climb_1
738683.1879,-0.4198,0.467407,-0.464233,27.397154,-1.434326,57.968136,Climb_1
738683.1879,-0.618408,0.51062,-0.598633,18.714905,-3.14331,6.958007,Climb_1
738683.1879,0.00647,0.370483,-0.814575,-50.86517,-13.618468,-0.221252,Climb_1
738683.1879,0.006714,0.293945,-0.904175,-30.677794,10.986327,2.258301,Climb_1
738683.1879,0.049194,0.240967,-0.936768,-6.637573,-28.663633,-46.257015,Climb_1
738683.1879,-0.052856,0.429199,-0.887573,-18.447876,-87.707512,-59.471127,Climb_1
738683.1879,-0.6521,0.478149,-0.555176,8.476257,3.532409,12.123107,Climb_1
738683.1875,0.049927,0.456543,-0.658203,-86.97509,-141.479492,-23.04077,Climb_1
738683.1873,-0.736084,0.474365,-0.490356,-8.766174,-14.068603,-22.65167,Climb_1
738683.1879,0.012329,0.047852,-0.966187,52.986141,49.461361,52.391048,Climb_1
738683.1879,0.12561,0.163574,-0.889526,-9.391785,5.050659,-13.282775000000001,Climb_1
738683.1879,0.132324,0.248779,-0.873413,-15.693664,-20.660398,-20.690916,Climb_1
738683.1879,0.180176,0.264404,-1.010254,-36.193848,-7.980346,-46.424862,Climb_1
738683.1879,0.131104,0.171753,-0.991699,-18.905639999999998,-24.688719,-37.712097,Climb_1
738683.1874,-0.654175,0.393311,-0.670044,-29.434202,19.210815,28.488157,Climb_1
738683.1874,-0.75,0.437012,-0.679443,-14.373778,13.916015,20.553587,Climb_1
738683.1873,-0.619873,0.510498,-0.488892,-17.173767,19.958496,-6.317138,Climb_1
738683.1879,-0.609497,0.454834,-0.561157,5.264282,-8.270264,-4.600525,Climb_1
738683.1879,-0.634277,0.440552,-0.558228,14.030456,-17.089844,-4.28009,Climb_1
738683.1879,0.081177,0.374756,-0.837036,-70.510864,-93.513481,-39.802551,Climb_1
738683.1879,-0.62854,0.473145,-0.526001,28.778074,-14.175414,15.258788,Climb_1
738683.1875,-0.0354,0.559692,-0.572021,-87.760918,-158.51593,-21.949766,Climb_1
738683.1873,-0.636597,0.481934,-0.465576,-29.266356,35.362244,-17.440796,Climb_1
738683.1873,-0.632324,0.450195,-0.449097,-30.242918,33.905029,-16.845703,Climb_1
738683.1873,-0.61084,0.45813,-0.501099,-43.708797,34.14917,-14.129638,Climb_1
738683.1873,-0.599243,0.557861,-0.588989,-42.686459,37.879944,-16.807556,Climb_1
738683.1874,-0.728638,0.287598,-0.631348,-12.664794,16.899109,11.932372,Climb_1
738683.1874,0.159668,0.004395,-0.933105,72.257996,30.029295,-33.02002,Climb_1
738683.1874,0.027344,0.014893,-0.946777,56.854244,38.726807,-29.098509,Climb_1
738683.1874,0.053711,-0.109253,-0.936279,61.080929,50.041195,-20.698545,Climb_1
738683.1874,0.117065,-0.109131,-0.868774,58.990475000000004,42.716976,-21.316526,Climb_1
738683.1874,0.118042,-0.173218,-0.966431,72.128296,35.774231,-35.247803,Climb_1
738683.1879,-0.642212,0.425049,-0.55481,20.233152,-26.161192,2.311707,Climb_1
738683.1874,0.176147,-0.260254,-0.966187,47.851559,11.856078,-34.889221,Climb_1
738683.1879,-0.086548,0.240356,-1.10022,65.589905,66.825867,38.421631,Climb_1
738683.1879,-0.171265,0.120483,-0.94458,59.18121,31.501768,27.839659,Climb_1
738683.1879,0.117676,0.117065,-0.892212,39.482117,26.336668,41.587826,Climb_1
738683.1874,0.602783,0.142334,-0.738159,51.940914,32.623291,18.791199,Climb_1
738683.1874,0.490479,0.188477,-0.634766,52.101131,25.764463,31.631468,Climb_1
738683.1874,0.649048,0.063965,-0.725952,51.879879,24.063108,4.745483,Climb_1
738683.1874,0.595215,0.110107,-0.872681,54.63409,0.244141,-0.167847,Climb_1
738683.1879,0.03186,0.235718,-0.851074,-49.858089,-27.44293,28.068541,Climb_1
738683.1875,0.638916,0.116211,-0.7948,50.659176,-28.266905,-25.665281,Climb_1
738683.1875,0.599121,0.119141,-0.825806,63.133236,-11.901855,-31.158445,Climb_1
738683.1875,0.445435,0.078247,-0.893433,44.296261,-13.313293,-26.573179,Climb_1
738683.1875,0.478882,0.058228,-0.856689,48.889156,-5.722045,-30.448912,Climb_1
738683.1875,0.661865,0.081177,-0.766602,42.953487,-0.045776,-20.912169,Climb_1
738683.1875,0.617065,-0.016479,-0.841431,36.758423,-10.627746,-2.677917,Climb_1
738683.1875,0.547729,-0.100708,-0.709595,-10.528563,-24.67346,28.366087,Climb_1
738683.1875,0.465698,0.019165,-0.603149,15.441894,-32.264709,10.635375,Climb_1
738683.1875,0.240601,0.143188,-0.684692,-43.17474,-10.681151,17.272949,Climb_1
738683.1875,0.460327,-0.139038,-0.861572,-6.843566,-28.099058,-68.748474,Climb_1
738683.1875,0.473145,-0.118652,-0.950195,-21.987913,-52.8717,-36.430359,Climb_1
738683.1875,0.453857,0.037109,-0.814087,-29.312132,-91.644279,19.485474,Climb_1
738683.1874,0.19104,-0.31311,-0.951416,-46.562191,-65.887451,26.237486,Climb_1
738683.1874,0.095581,-0.226563,-0.932251,-60.317989,-87.234489,20.614622,Climb_1
738683.1874,0.022827,-0.188477,-0.932129,-118.316643,-95.611565,2.281189,Climb_1
738683.1873,-0.572754,0.523682,-0.583374,-24.444578,26.039122,-21.423338,Climb_1
738683.1873,-0.652466,0.503052,-0.536255,-21.965025,17.38739,-34.576416,Climb_1
